ASSET - HOSTNAME,ASSET - IP_ADDRESS,VULNERABILITY - TITLE,VULNERABILITY - SEVERITY,VULNERABILITY - CVSS,VULNERABILITY - PUBLICATION_DATE
SERVER-1,172.20.0.1,SSL Certificate with Wrong Hostname,Médio,5.3,
SERVER-4,172.20.0.4,SSL Certificate with Wrong Hostname,Médio,5.3,
SERVER-6,172.20.0.6,SSL Certificate with Wrong Hostname,Médio,5.3,
SERVER-8,172.20.0.8,SSL Certificate with Wrong Hostname,Médio,5.3,
WORKSTATION-5,172.18.0.5,SSL Certificate with Wrong Hostname,Médio,5.3,
WORKSTATION-14,172.18.0.14,SSL Certificate with Wrong Hostname,Médio,5.3,
SERVER-6,172.20.0.6,Terminal Services Doesn't Use Network Level Authentication (NLA) Only,Médio,4,
WORKSTATION-8,172.18.0.8,Terminal Services Doesn't Use Network Level Authentication (NLA) Only,Médio,4,
SERVER-1,172.20.0.1,Terminal Services Doesn't Use Network Level Authentication (NLA) Only,Médio,4,
SERVER-5,172.20.0.5,Terminal Services Doesn't Use Network Level Authentication (NLA) Only,Médio,4,
WORKSTATION-12,172.18.0.12,Terminal Services Doesn't Use Network Level Authentication (NLA) Only,Médio,4,
SERVER-5,172.20.0.5,DNS Server Dynamic Update Record Injection,Médio,5,
SERVER-1,172.20.0.1,SSL RC4 Cipher Suites Supported (Bar Mitzvah),Médio,5.9,3/12/2013
SERVER-6,172.20.0.6,SSL RC4 Cipher Suites Supported (Bar Mitzvah),Médio,5.9,3/12/2013
WORKSTATION-5,172.18.0.5,SSL RC4 Cipher Suites Supported (Bar Mitzvah),Médio,5.9,3/12/2013
SERVER-4,172.20.0.4,SSL RC4 Cipher Suites Supported (Bar Mitzvah),Médio,5.9,3/12/2013
SERVER-5,172.20.0.5,SSL RC4 Cipher Suites Supported (Bar Mitzvah),Médio,5.9,3/12/2013
WORKSTATION-14,172.18.0.14,SSL RC4 Cipher Suites Supported (Bar Mitzvah),Médio,5.9,3/12/2013
SERVER-3,172.20.0.3,SSL RC4 Cipher Suites Supported (Bar Mitzvah),Médio,5.9,3/12/2013
WORKSTATION-16,172.18.0.16,SSL RC4 Cipher Suites Supported (Bar Mitzvah),Médio,5.9,3/12/2013
SERVER-8,172.20.0.8,SSL RC4 Cipher Suites Supported (Bar Mitzvah),Médio,5.9,3/12/2013
SERVER-2,172.20.0.2,SSL RC4 Cipher Suites Supported (Bar Mitzvah),Médio,5.9,3/12/2013
WORKSTATION-7,172.18.0.7,SSL RC4 Cipher Suites Supported (Bar Mitzvah),Médio,5.9,3/12/2013
WORKSTATION-4,172.18.0.4,SSL RC4 Cipher Suites Supported (Bar Mitzvah),Médio,5.9,3/12/2013
WORKSTATION-19,172.18.0.19,SSH Weak Algorithms Supported,Médio,4.3,
SERVER-2,172.20.0.2,SSLv3 Padding Oracle On Downgraded Legacy Encryption Vulnerability (POODLE),Médio,6.8,10/14/2014
WORKSTATION-5,172.18.0.5,SSLv3 Padding Oracle On Downgraded Legacy Encryption Vulnerability (POODLE),Médio,6.8,10/14/2014
SERVER-1,172.20.0.1,SSLv3 Padding Oracle On Downgraded Legacy Encryption Vulnerability (POODLE),Médio,6.8,10/14/2014
SERVER-8,172.20.0.8,SSLv3 Padding Oracle On Downgraded Legacy Encryption Vulnerability (POODLE),Médio,6.8,10/14/2014
SERVER-4,172.20.0.4,SSLv3 Padding Oracle On Downgraded Legacy Encryption Vulnerability (POODLE),Médio,6.8,10/14/2014
WORKSTATION-7,172.18.0.7,SMB Signing not required,Médio,5.3,1/17/2012
WORKSTATION-14,172.18.0.14,SMB Signing not required,Médio,5.3,1/17/2012
SERVER-6,172.20.0.6,SMB Signing not required,Médio,5.3,1/17/2012
SERVER-1,172.20.0.1,SMB Signing not required,Médio,5.3,1/17/2012
WORKSTATION-12,172.18.0.12,SMB Signing not required,Médio,5.3,1/17/2012
WORKSTATION-15,172.18.0.15,SMB Signing not required,Médio,5.3,1/17/2012
SERVER-2,172.20.0.2,SMB Signing not required,Médio,5.3,1/17/2012
SERVER-4,172.20.0.4,SMB Signing not required,Médio,5.3,1/17/2012
WORKSTATION-17,172.18.0.17,SMB Signing not required,Médio,5.3,1/17/2012
SERVER-8,172.20.0.8,SMB Signing not required,Médio,5.3,1/17/2012
WORKSTATION-5,172.18.0.5,SMB Signing not required,Médio,5.3,1/17/2012
WORKSTATION-5,172.18.0.5,SSL DROWN Attack Vulnerability (Decrypting RSA with Obsolete and Weakened eNcryption),Médio,5.9,3/1/2016
SERVER-2,172.20.0.2,SSL DROWN Attack Vulnerability (Decrypting RSA with Obsolete and Weakened eNcryption),Médio,5.9,3/1/2016
SERVER-7,172.20.0.7,Web Server Generic 3xx Redirect,Médio,4.3,
WORKSTATION-4,172.18.0.4,HTTP TRACE / TRACK Methods Allowed,Médio,5.3,1/20/2003
SERVER-7,172.20.0.7,HTTP TRACE / TRACK Methods Allowed,Médio,5.3,1/20/2003
SERVER-6,172.20.0.6,SSL Certificate Cannot Be Trusted,Médio,6.5,
WORKSTATION-5,172.18.0.5,SSL Certificate Cannot Be Trusted,Médio,6.5,
SERVER-2,172.20.0.2,SSL Certificate Cannot Be Trusted,Médio,6.5,
SERVER-1,172.20.0.1,SSL Certificate Cannot Be Trusted,Médio,6.5,
SERVER-10,172.20.0.10,SSL Certificate Cannot Be Trusted,Médio,6.5,
WORKSTATION-8,172.18.0.8,SSL Certificate Cannot Be Trusted,Médio,6.5,
SERVER-9,172.20.0.9,SSL Certificate Cannot Be Trusted,Médio,6.5,
WORKSTATION-9,172.18.0.9,SSL Certificate Cannot Be Trusted,Médio,6.5,
SERVER-4,172.20.0.4,SSL Certificate Cannot Be Trusted,Médio,6.5,
SERVER-5,172.20.0.5,SSL Certificate Cannot Be Trusted,Médio,6.5,
SERVER-3,172.20.0.3,SSL Certificate Cannot Be Trusted,Médio,6.5,
WORKSTATION-4,172.18.0.4,SSL Certificate Cannot Be Trusted,Médio,6.5,
WORKSTATION-7,172.18.0.7,SSL Certificate Cannot Be Trusted,Médio,6.5,
SERVER-8,172.20.0.8,SSL Certificate Cannot Be Trusted,Médio,6.5,
WORKSTATION-16,172.18.0.16,SSL Certificate Cannot Be Trusted,Médio,6.5,
WORKSTATION-14,172.18.0.14,SSL Certificate Cannot Be Trusted,Médio,6.5,
WORKSTATION-18,172.18.0.18,SSL Certificate Cannot Be Trusted,Médio,6.5,
WORKSTATION-6,172.18.0.6,SSL Certificate Cannot Be Trusted,Médio,6.5,
WORKSTATION-4,172.18.0.4,SSL Certificate Expiry,Médio,5.3,
WORKSTATION-5,172.18.0.5,SSL Certificate Expiry,Médio,5.3,
SERVER-6,172.20.0.6,SSL Certificate Expiry,Médio,5.3,
SERVER-1,172.20.0.1,SSL Certificate Expiry,Médio,5.3,
SERVER-1,172.20.0.1,SSL Self-Signed Certificate,Médio,6.4,
SERVER-9,172.20.0.9,SSL Self-Signed Certificate,Médio,6.4,
WORKSTATION-9,172.18.0.9,SSL Self-Signed Certificate,Médio,6.4,
WORKSTATION-16,172.18.0.16,SSL Self-Signed Certificate,Médio,6.4,
SERVER-3,172.20.0.3,SSL Self-Signed Certificate,Médio,6.4,
WORKSTATION-8,172.18.0.8,SSL Self-Signed Certificate,Médio,6.4,
WORKSTATION-5,172.18.0.5,SSL Self-Signed Certificate,Médio,6.4,
SERVER-10,172.20.0.10,SSL Self-Signed Certificate,Médio,6.4,
WORKSTATION-14,172.18.0.14,SSL Self-Signed Certificate,Médio,6.4,
WORKSTATION-4,172.18.0.4,SSL Self-Signed Certificate,Médio,6.4,
SERVER-6,172.20.0.6,SSL Self-Signed Certificate,Médio,6.4,
WORKSTATION-6,172.18.0.6,SSL Self-Signed Certificate,Médio,6.4,
SERVER-8,172.20.0.8,SSL Self-Signed Certificate,Médio,6.4,
WORKSTATION-18,172.18.0.18,SSL Self-Signed Certificate,Médio,6.4,
WORKSTATION-7,172.18.0.7,SSL Self-Signed Certificate,Médio,6.4,
SERVER-2,172.20.0.2,SSL Self-Signed Certificate,Médio,6.4,
SERVER-5,172.20.0.5,SSL Self-Signed Certificate,Médio,6.4,
SERVER-4,172.20.0.4,SSL Self-Signed Certificate,Médio,6.4,
SERVER-2,172.20.0.2,MS KB3009008: Vulnerability in SSL 3.0 Could Allow Information Disclosure (POODLE),Médio,4.3,10/14/2014
SERVER-1,172.20.0.1,MS KB3009008: Vulnerability in SSL 3.0 Could Allow Information Disclosure (POODLE),Médio,4.3,10/14/2014
SERVER-4,172.20.0.4,MS KB3009008: Vulnerability in SSL 3.0 Could Allow Information Disclosure (POODLE),Médio,4.3,10/14/2014
WORKSTATION-5,172.18.0.5,MS KB3009008: Vulnerability in SSL 3.0 Could Allow Information Disclosure (POODLE),Médio,4.3,10/14/2014
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
